target,condition,candidates,ties,excluded
C01-T000,joint,256,0,0
C01-T001,joint,256,0,0
C01-T002,joint,256,0,0
C01-T003,joint,256,0,0
C01-T004,joint,256,0,0
C01-T005,joint,256,0,0
C01-T006,joint,256,0,0
C01-T007,joint,256,0,0
C01-T008,joint,256,0,0
C01-T009,joint,256,0,0
C01-T010,joint,256,0,0
C01-T011,joint,256,0,0
C01-T012,joint,256,0,0
C01-T013,joint,256,0,0
C01-T014,joint,256,0,0
C01-T015,joint,256,0,0
C01-T016,joint,256,0,0
C01-T017,joint,256,0,0
C01-T018,joint,256,0,0
C01-T019,joint,256,0,0
C01-T020,joint,256,0,0
C01-T021,joint,256,0,0
C01-T022,joint,256,0,0
C01-T023,joint,256,0,0
C01-T024,joint,256,0,0
C01-T025,joint,256,0,0
C01-T026,joint,256,0,0
C01-T027,joint,256,0,0
C01-T028,joint,256,0,0
C01-T029,joint,256,0,0
C01-T030,joint,256,0,0
C01-T031,joint,256,0,0
C02-T000,joint,256,0,0
C02-T001,joint,256,0,0
C02-T002,joint,256,0,0
C02-T003,joint,256,0,0
C02-T004,joint,256,0,0
C02-T005,joint,256,0,0
C02-T006,joint,256,0,0
C02-T007,joint,256,0,0
C02-T008,joint,256,0,0
C02-T009,joint,256,0,0
C02-T010,joint,256,0,0
C02-T011,joint,256,0,0
C02-T012,joint,256,0,0
C02-T013,joint,256,0,0
C02-T014,joint,256,0,0
C02-T015,joint,256,0,0
C02-T016,joint,256,0,0
C02-T017,joint,256,0,0
C02-T018,joint,256,0,0
C02-T019,joint,256,0,0
C02-T020,joint,256,0,0
C02-T021,joint,256,0,0
C02-T022,joint,256,0,0
C02-T023,joint,256,0,0
C02-T024,joint,256,0,0
C02-T025,joint,256,0,0
C02-T026,joint,256,0,0
C02-T027,joint,256,0,0
C02-T028,joint,256,0,0
C02-T029,joint,256,0,0
C02-T030,joint,256,0,0
C02-T031,joint,256,0,0
C04-T000,joint,256,0,0
C04-T001,joint,256,0,0
C04-T002,joint,256,0,0
C04-T003,joint,256,0,0
C04-T004,joint,256,0,0
C04-T005,joint,256,0,0
C04-T006,joint,256,0,0
C04-T007,joint,256,0,0
C04-T008,joint,256,0,0
C04-T009,joint,256,0,0
C04-T010,joint,256,0,0
C04-T011,joint,256,0,0
C04-T012,joint,256,0,0
C04-T013,joint,256,0,0
C04-T014,joint,256,0,0
C04-T015,joint,256,0,0
C04-T016,joint,256,0,0
C04-T017,joint,256,0,0
C04-T018,joint,256,0,0
C04-T019,joint,256,0,0
C04-T020,joint,256,0,0
C04-T021,joint,256,0,0
C04-T022,joint,256,0,0
C04-T023,joint,256,0,0
C04-T024,joint,256,0,0
C04-T025,joint,256,0,0
C04-T026,joint,256,0,0
C04-T027,joint,256,0,0
C04-T028,joint,256,0,0
C04-T029,joint,256,0,0
C04-T030,joint,256,0,0
C04-T031,joint,256,0,0
C06-T000,joint,256,0,0
C06-T001,joint,256,0,0
C06-T002,joint,256,0,0
C06-T003,joint,256,0,0
C06-T004,joint,256,0,0
C06-T005,joint,256,0,0
C06-T006,joint,256,0,0
C06-T007,joint,256,0,0
C06-T008,joint,256,0,0
C06-T009,joint,256,0,0
C06-T010,joint,256,0,0
C06-T011,joint,256,0,0
C06-T012,joint,256,0,0
C06-T013,joint,256,0,0
C06-T014,joint,256,0,0
C06-T015,joint,256,0,0
C06-T016,joint,256,0,0
C06-T017,joint,256,0,0
C06-T018,joint,256,0,0
C06-T019,joint,256,0,0
C06-T020,joint,256,0,0
C06-T021,joint,256,0,0
C06-T022,joint,256,0,0
C06-T023,joint,256,0,0
C06-T024,joint,256,0,0
C06-T025,joint,256,0,0
C06-T026,joint,256,0,0
C06-T027,joint,256,0,0
C06-T028,joint,256,0,0
C06-T029,joint,256,0,0
C06-T030,joint,256,0,0
C06-T031,joint,256,0,0
C08-T000,joint,256,0,0
C08-T001,joint,256,0,0
C08-T002,joint,256,0,0
C08-T003,joint,256,0,0
C08-T004,joint,256,0,0
C08-T005,joint,256,0,0
C08-T006,joint,256,0,0
C08-T007,joint,256,0,0
C08-T008,joint,256,0,0
C08-T009,joint,256,0,0
C08-T010,joint,256,0,0
C08-T011,joint,256,0,0
C08-T012,joint,256,0,0
C08-T013,joint,256,0,0
C08-T014,joint,256,0,0
C08-T015,joint,256,0,0
C08-T016,joint,256,0,0
C08-T017,joint,256,0,0
C08-T018,joint,256,0,0
C08-T019,joint,256,0,0
C08-T020,joint,256,0,0
C08-T021,joint,256,0,0
C08-T022,joint,256,0,0
C08-T023,joint,256,0,0
C08-T024,joint,256,0,0
C08-T025,joint,256,0,0
C08-T026,joint,256,0,0
C08-T027,joint,256,0,0
C08-T028,joint,256,0,0
C08-T029,joint,256,0,0
C08-T030,joint,256,0,0
C08-T031,joint,256,0,0
C01-T000,pitch,256,0,0
C01-T001,pitch,256,0,0
C01-T002,pitch,256,0,0
C01-T003,pitch,256,0,0
C01-T004,pitch,256,0,0
C01-T005,pitch,256,0,0
C01-T006,pitch,256,0,0
C01-T007,pitch,256,0,0
C01-T008,pitch,256,0,0
C01-T009,pitch,256,0,0
C01-T010,pitch,256,0,0
C01-T011,pitch,256,0,0
C01-T012,pitch,256,0,0
C01-T013,pitch,256,0,0
C01-T014,pitch,256,0,0
C01-T015,pitch,256,0,0
C01-T016,pitch,256,0,0
C01-T017,pitch,256,0,0
C01-T018,pitch,256,0,0
C01-T019,pitch,256,0,0
C01-T020,pitch,256,0,0
C01-T021,pitch,256,0,0
C01-T022,pitch,256,0,0
C01-T023,pitch,256,0,0
C01-T024,pitch,256,0,0
C01-T025,pitch,256,0,0
C01-T026,pitch,256,0,0
C01-T027,pitch,256,0,0
C01-T028,pitch,256,0,0
C01-T029,pitch,256,0,0
C01-T030,pitch,256,0,0
C01-T031,pitch,256,0,0
C02-T000,pitch,256,0,0
C02-T001,pitch,256,0,0
C02-T002,pitch,256,0,0
C02-T003,pitch,256,0,0
C02-T004,pitch,256,0,0
C02-T005,pitch,256,0,0
C02-T006,pitch,256,0,0
C02-T007,pitch,256,0,0
C02-T008,pitch,256,0,0
C02-T009,pitch,256,0,0
C02-T010,pitch,256,0,0
C02-T011,pitch,256,0,0
C02-T012,pitch,256,0,0
C02-T013,pitch,256,0,0
C02-T014,pitch,256,0,0
C02-T015,pitch,256,0,0
C02-T016,pitch,256,0,0
C02-T017,pitch,256,0,0
C02-T018,pitch,256,0,0
C02-T019,pitch,256,0,0
C02-T020,pitch,256,0,0
C02-T021,pitch,256,0,0
C02-T022,pitch,256,0,0
C02-T023,pitch,256,0,0
C02-T024,pitch,256,0,0
C02-T025,pitch,256,0,0
C02-T026,pitch,256,0,0
C02-T027,pitch,256,0,0
C02-T028,pitch,256,0,0
C02-T029,pitch,256,0,0
C02-T030,pitch,256,0,0
C02-T031,pitch,256,0,0
C04-T000,pitch,256,0,0
C04-T001,pitch,256,0,0
C04-T002,pitch,256,0,0
C04-T003,pitch,256,0,0
C04-T004,pitch,256,0,0
C04-T005,pitch,256,0,0
C04-T006,pitch,256,0,0
C04-T007,pitch,256,0,0
C04-T008,pitch,256,0,0
C04-T009,pitch,256,0,0
C04-T010,pitch,256,0,0
C04-T011,pitch,256,0,0
C04-T012,pitch,256,0,0
C04-T013,pitch,256,0,0
C04-T014,pitch,256,0,0
C04-T015,pitch,256,0,0
C04-T016,pitch,256,0,0
C04-T017,pitch,256,0,0
C04-T018,pitch,256,0,0
C04-T019,pitch,256,0,0
C04-T020,pitch,256,0,0
C04-T021,pitch,256,0,0
C04-T022,pitch,256,0,0
C04-T023,pitch,256,0,0
C04-T024,pitch,256,0,0
C04-T025,pitch,256,0,0
C04-T026,pitch,256,0,0
C04-T027,pitch,256,0,0
C04-T028,pitch,256,0,0
C04-T029,pitch,256,0,0
C04-T030,pitch,256,0,0
C04-T031,pitch,256,0,0
C01-T000,time,256,0,0
C01-T001,time,256,0,0
C01-T002,time,256,0,0
C01-T003,time,256,0,0
C01-T004,time,256,0,0
C01-T005,time,256,0,0
C01-T006,time,256,0,0
C01-T007,time,256,0,0
C01-T008,time,256,0,0
C01-T009,time,256,0,0
C01-T010,time,256,0,0
C01-T011,time,256,0,0
C01-T012,time,256,0,0
C01-T013,time,256,0,0
C01-T014,time,256,0,0
C01-T015,time,256,0,0
C01-T016,time,256,0,0
C01-T017,time,256,0,0
C01-T018,time,256,0,0
C01-T019,time,256,0,0
C01-T020,time,256,0,0
C01-T021,time,256,0,0
C01-T022,time,256,0,0
C01-T023,time,256,0,0
C01-T024,time,256,0,0
C01-T025,time,256,0,0
C01-T026,time,256,0,0
C01-T027,time,256,0,0
C01-T028,time,256,0,0
C01-T029,time,256,0,0
C01-T030,time,256,0,0
C01-T031,time,256,0,0
C02-T000,time,256,0,0
C02-T001,time,256,0,0
C02-T002,time,256,0,0
C02-T003,time,256,0,0
C02-T004,time,256,0,0
C02-T005,time,256,0,0
C02-T006,time,256,0,0
C02-T007,time,256,0,0
C02-T008,time,256,0,0
C02-T009,time,256,0,0
C02-T010,time,256,0,0
C02-T011,time,256,0,0
C02-T012,time,256,0,0
C02-T013,time,256,0,0
C02-T014,time,256,0,0
C02-T015,time,256,0,0
C02-T016,time,256,0,0
C02-T017,time,256,0,0
C02-T018,time,256,0,0
C02-T019,time,256,0,0
C02-T020,time,256,0,0
C02-T021,time,256,0,0
